Account,Coin,execution_price,size,size_usd,side,Timestamp IST,Start Position,Direction,closedPnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,time,Date,leverage,timestamp,Sentiment_Value,Classification,date,is_profitable
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84019.0,0.00014,11.76,SELL,18-03-2025 05:22,2.95885,Close Long,0.24696,0x0000000000000000000000000000000000000000000000000000000000000000,80439315105,False,0.001128,972000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84019.0,0.00031,26.05,SELL,18-03-2025 05:22,2.95871,Close Long,0.54684,0x0000000000000000000000000000000000000000000000000000000000000000,80439315105,False,0.002499,902000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84019.0,0.05926,4978.97,SELL,18-03-2025 05:22,2.9584,Close Long,104.53464,0x0000000000000000000000000000000000000000000000000000000000000000,80439315105,False,0.47798,642000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84019.0,0.04111,3454.02,SELL,18-03-2025 05:23,2.89914,Close Long,72.51804,0x0000000000000000000000000000000000000000000000000000000000000000,80439315105,False,0.331585,160000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84347.0,0.04553,3840.32,SELL,19-03-2025 21:01,2.7299,Close Long,78.971785,0x5aa04fc4650444b9c691041fdd7c4e02018200bcf4a42eaad87e0e62394b5b16,80761051607,True,1.290346,140000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84347.0,0.08657,7301.92,SELL,19-03-2025 21:01,2.28437,Close Long,150.155665,0x5aa04fc4650444b9c691041fdd7c4e02018200bcf4a42eaad87e0e62394b5b16,80761051607,True,2.453444,96200000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84347.0,0.02823,2381.12,SELL,19-03-2025 21:01,1.62863,Close Long,48.964935,0x5aa04fc4650444b9c691041fdd7c4e02018200bcf4a42eaad87e0e62394b5b16,80761051607,True,0.800054,630000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84347.0,0.10648,8981.27,SELL,19-03-2025 21:01,0.1704,Close Long,184.68956,0x5aa04fc4650444b9c691041fdd7c4e02018200bcf4a42eaad87e0e62394b5b16,80761051607,True,3.017705,1020000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,84347.0,0.06382,5383.03,SELL,19-03-2025 21:01,0.06392,Close Long,110.69579,0x5aa04fc4650444b9c691041fdd7c4e02018200bcf4a42eaad87e0e62394b5b16,80761051607,True,1.808695,805000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,85522.0,0.0001,8.55,SELL,20-03-2025 02:04,0.0001,Close Long,0.29095,0x0000000000000000000000000000000000000000000000000000000000000000,80821481686,False,0.00082,662000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,76771.0,0.00066,50.67,BUY,07-04-2025 17:10,-2.16995,Close Short,1.2771,0x7376411d61c293255cc2042113f39b0201b00088a0b773c11757e98bd03bfa4b,84616151278,True,0.017024,1060000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,76783.0,0.00299,229.58,BUY,07-04-2025 17:10,-0.71904,Close Short,5.74977,0x7376411d61c293255cc2042113f39b0201b00088a0b773c11757e98bd03bfa4b,84616151278,True,0.077138,517000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,79450.0,0.14567,11573.48,SELL,08-04-2025 03:22,9.02361,Close Long,50.54749,0x1bfd91336f9aa4c46f6104211af65502012c009f1a9f8e0d6e7e82a9e4e78c53,84806769825,False,1.111054,786000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,79450.0,0.00416,330.51,SELL,08-04-2025 03:22,8.87794,Close Long,1.44352,0x0000000000000000000000000000000000000000000000000000000000000000,84806769825,False,0.031728,471000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,79450.0,0.00019,15.1,SELL,08-04-2025 03:22,6.00928,Close Long,0.065949,0xf128c36d85937439a0e204211af66a018100bcc27413ec20a179134beed6632c,84806769825,False,0.001448,108000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19,1.0,1739943000,44,Fear,2025-02-19,True
